doi,title,date,tier,program,grant,acronym,call,disc,stage,stage_frac,proj_start,proj_end,proj_status,madmp,schema_ok,n_datasets,n_dist,personal,sensitive,ethics,challenging,access,url,dl
10.5281/zenodo.7509693,D8.2 Data Management Plan,2021-04-30,Horizon 2020,H2020,818496,PoliRural,H2020-RUR-2018-2020,natural sciences,mid,0.574,2019-06-01,2022-09-30,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/7509693,
10.5281/zenodo.6782289,LimnoPlast project: DATA MANAGEMENT PLAN (final version),2021-04-30,Horizon 2020,H2020,860720,LimnoPlast,H2020-MSCA-ITN-2019,natural sciences,mid,0.359,2019-11-01,2023-12-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/6782289,
10.5281/zenodo.6779396,SCALIBUR D1.2 Data management plan,2021-04-30,Horizon 2020,H2020,817788,SCALIBUR,H2020-SFS-2018-2020,engineering and technology,mid,0.624,2018-11-01,2022-10-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/6779396,
10.5281/zenodo.6655830,D2.2 – Data Management Plan,2021-04-30,Horizon 2020,H2020,957258,ASSIST-IoT,H2020-ICT-2018-20,social sciences,early,0.144,2020-11-01,2024-03-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/6655830,
10.5281/zenodo.5094961,D8.2 Data Management Plan,2021-04-29,Horizon 2020,H2020,952002,PrismArch,H2020-ICT-2018-20,natural sciences,early,0.218,2020-11-01,2023-01-31,CLOSED,False,,,,0,0,,True,public,https://zenodo.org/records/5094961,
10.5281/zenodo.4723656,Classes of errors in DOI names (Revised Version of Data Management Plan),2021-04-27,No funder metadata,,,,,,unknown,,,,,True,False,2,2,0,0,unknown,False,public,https://zenodo.org/records/4723656,https://zenodo.org/api/records/4723656/files/DMPOpen Science Project 202020210 (2).json/content
10.5281/zenodo.4723603,Classes of errors in DOI names (Revised Version of Data Management Plan),2021-04-27,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4723603,
10.5281/zenodo.4782410,ПРОБЛЕМИ МІЖКУЛЬТУРНОЇ АДАПТАЦІЇ ІНОЗЕМНИХ СТУДЕНТІВ,2021-04-23,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4782410,
10.5281/zenodo.4710327,Data Management Plan - Analyzing Diversity Efforts in Public Radio Organizations - A comparative approach to performance standards in the workplace,2021-04-22,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/4710327,
10.5281/zenodo.4701593,Machine-actionable DMP: Effects of scaling when modeling with KNN,2021-04-20,No funder metadata,,,,,,unknown,,,,,True,True,5,5,0,0,no,False,public,https://zenodo.org/records/4701593,https://zenodo.org/api/records/4701593/files/maDMP.json/content
